user_id,item_id,rating
1494,20,4
1494,1030,4
9808,1527,2
9808,20,5
19854,70,4
19854,1040,1
19854,20,4
19854,797,4
19854,11230,5
20059,6801,1
1239,20,5
26005,8206,5
41999,20,5
41999,11266,5
42574,21177,4
37075,13970,5
37075,16835,5
37075,8383,5
37075,174,5
37075,9889,5
37075,2691,5
37075,8780,5
37075,2755,5
37075,971,5
21277,9211,5
21277,1084,3
21277,17595,3
21277,398,5
6321,5445,5
6321,11155,3
6321,7655,5
16113,1688,5
35805,21374,5
35805,4671,5
35805,54,5
11738,54,5
40352,20635,5
40352,14794,5
27104,797,1
220,12959,5
220,5,5
16996,6801,5
16996,5052,5
29248,6026,5
29248,804,5
334,301,5
41913,7520,5
34211,1675,5
34211,835,5
40510,879,5
40510,76,5
40510,742,5
18886,7839,5
10822,900,5
43393,202,1
42042,3565,5
9462,17329,5
6688,5029,5
6688,3506,5
4933,523,5
4933,120,5
20660,16571,5
20660,11908,5
20660,2580,5
20660,17785,5
20660,8758,5
20660,11925,5
20660,101,5
20660,13546,5
20660,4487,5
20660,89,5
20660,12262,5
20660,2752,5
20660,17329,5
15294,1843,5
5989,11332,4
44819,101,5
44819,9156,5
22968,4248,5
22968,2368,3
22968,5408,4
37305,7918,5
37305,3021,5
32816,16302,5
16789,1865,5
22736,14107,5
22736,5004,5
9333,1486,5
42984,3579,2
42724,7065,5
42724,5687,5
34333,10952,5
34333,6954,5
24460,8230,5
24460,8220,5
24460,5663,4
24460,661,5
24460,12457,5
33699,4803,5
33699,6181,5
29233,14948,5
29233,6744,5
16001,19867,5
4808,5144,5
4808,4985,5
4808,6020,5
16683,3814,4
16683,8369,5
16683,6457,2
16683,5740,5
16683,7393,5
16683,3762,3
16683,7242,4
16683,2951,3
16683,4797,4
39167,4805,5
39167,158,5
21420,158,5
45213,5552,5
45213,187,5
22284,7995,5
46266,1026,4
46266,928,5
30819,617,5
30819,158,4
30819,157,4
1119,187,5
1119,13749,5
10424,5792,5
10424,9773,5
10424,6133,5
10424,10384,5
10424,3430,5
10424,5780,5
6796,14553,5
6796,3059,5
33519,12592,1
33519,315,5
36467,13329,5
41404,12189,3
15455,11289,5
15455,9521,5
36618,15302,5
26090,158,5
43466,260,5
33673,1812,5
33673,12591,5
33673,5220,5
33673,6871,5
33673,12843,5
38359,12875,5
4246,20654,1
4246,4343,5
4246,20383,3
26789,7409,5
26789,4029,4
26789,12371,5
9646,3043,5
36076,6035,5
36076,4473,5
20877,3056,5
20877,14301,5
33587,268,5
33587,3167,5
25670,21117,5
1575,5581,5
1575,8581,5
1575,11707,1
1575,13340,5
38518,461,5
38518,2957,5
36616,11448,5
36616,937,5
34522,352,1
10102,698,4
4695,15080,5
23689,614,5
23689,10365,5
18776,947,5
34364,21674,5
34364,1148,5
31177,299,5
28271,6056,5
28271,6936,5
28271,3423,5
28271,367,5
28271,9540,5
28271,1080,5
39270,1627,5
39270,499,5
39270,13789,5
39270,927,5
26715,299,5
26715,12694,5
26715,13719,5
25421,1438,4
25421,1590,5
25489,2031,5
25489,1198,5
42125,10570,5
42125,1592,3
34104,16708,5
29393,886,5
29393,6123,5
24634,3701,5
24634,652,1
40084,3480,5
40084,937,5
40084,183,5
40084,602,5
40084,5782,5
218,1592,5
15537,1603,5
9188,299,5
12211,311,5
12211,4405,5
12211,10926,5
12011,2780,5
12011,3506,5
34778,210,5
34778,299,5
34240,21767,5
18150,12703,4
18150,7239,3
27712,1090,5
8308,13229,5
8308,607,5
19193,234,5
19193,299,5
27934,3355,5
27934,456,5
27934,3701,4
27934,1610,5
27934,383,4
6761,2934,5
6761,599,5
6761,8760,5
6761,4275,1
6761,8939,5
6761,4790,5
6761,1252,3
6761,9284,5
6761,2852,3
6761,2940,1
6761,5021,5
6761,9150,5
6761,11132,3
6761,16232,5
6761,13379,5
6761,5324,5
6761,2910,5
6761,894,5
6761,17715,5
6761,9156,5
6761,10672,5
6761,16392,3
6761,16189,5
5120,161,5
5120,299,5
25458,14495,5
25458,299,5
15470,3968,5
15470,3755,4
15470,383,5
15470,8814,5
15470,19397,3
15470,21690,5
15470,18138,5
44659,3219,5
32793,12992,5
29669,216,5
29669,13325,5
29669,4768,5
44232,10459,5
44232,352,5
44232,6353,5
13724,467,5
13724,15185,5
27454,12182,3
13834,946,5
29755,606,5
29755,6356,5
26244,9674,5
26244,14935,5
35812,479,5
15441,12431,5
42085,6601,5
42085,6524,3
42085,2184,4
42085,202,5
42085,13619,5
42085,4318,5
42085,20488,5
42085,13957,5
42085,12099,5
42085,6604,4
42085,280,5
42085,3748,5
42085,13029,5
42085,3622,5
42085,1030,4
42085,9984,5
41109,1486,5
41109,8641,5
41109,12848,5
37396,1273,5
37396,9905,4
37396,13059,5
37396,11285,5
39491,5658,5
32990,245,5
35102,3602,5
35102,5789,5
34891,937,5
34891,4745,5
5646,5287,5
5646,380,5
27249,13057,5
27249,7151,5
27249,10568,4
19162,6791,5
19162,554,5
37880,3799,5
37880,586,5
37880,17532,5
37880,8513,5
37880,6175,5
21674,6773,4
21674,19311,5
9958,183,5
9958,4103,5
9958,2993,5
21509,4091,5
21509,7165,5
21509,554,5
10331,1682,3
10331,11554,3
17741,5131,5
17741,20488,5
17741,9007,5
17741,19033,5
17741,9672,5
17741,554,5
17741,11006,5
17741,19916,5
17741,18885,5
19219,19121,5
19219,8790,5
19219,17661,5
19219,8414,5
19219,1084,5
19219,2749,5
19219,8465,5
1998,2813,5
